Zone,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Significance,Number of google review in lakhs,S.No.,2017 - Domestic,2017 - Foreign,2018 (R) - Domestic,2018 (R) - Foreign,Growth Rate - Domestic,Growth Rate - Foreign,Best Season to Visit
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2,4.8,2500,Adventure,0.01,14,19130541,470992,16093935,356568,-15.87,-24.29,Summer
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,5,4.8,0,Adventure,0.01,14,19130541,470992,16093935,356568,-15.87,-24.29,Winter
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,1,4.8,0,Religious,0.29,35,34359989,133725,35609650,151320,3.64,13.16,Monsoon
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1,4.8,0,Religious,0.05,35,34359989,133725,35609650,151320,3.64,13.16,Summer
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,2,4.8,0,Religious,0.09,35,34359989,133725,35609650,151320,3.64,13.16,Winter
Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,1,4.8,0,Religious,0.025,34,233977619,3556204,285079848,3780752,21.84,6.31,Monsoon
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1,4.8,0,Religious,0.37,34,233977619,3556204,285079848,3780752,21.84,6.31,Summer
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,1,4.8,0,Religious,0.045,34,233977619,3556204,285079848,3780752,21.84,6.31,Monsoon
Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,1,4.8,0,Historical,0.011,12.5363468146973,123456,78910,456789,98765,7.67,5.67,Winter
Northern,Ladakh,Dras,Dras War Memorial,War Memorial,1,4.8,0,Historical,0.012,12.5363468146973,123456,78910,456789,98765,7.67,5.67,Spring
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,1.5,4.8,0,Religious,0.49,34,233977619,3556204,285079848,3780752,21.84,6.31,Summer
Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1,4.8,0,Historical,0.03,34,233977619,3556204,285079848,3780752,21.84,6.31,Winter
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,1,4.8,0,Religious,0.1,34,233977619,3556204,285079848,3780752,21.84,6.31,Autumn
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,1.5,4.8,0,Religious,0.35,31,345061140,4860455,385909376,6074345,11.84,24.97,Autumn
Eastern,Sikkim,Ravangla,Buddha Park,Park,1,4.8,50,Cultural,0.1,30,1375854,49111,1426127,71172,3.65,44.92,Monsoon
Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,1,4.8,0,Nature,0.09,1,471919,15313,498279,15242,5.59,-0.46,Winter
Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,1,4.8,0,Religious,1.05,10,29114423,2740502,29114423,2740502,0,0,Autumn
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,1.5,4.8,0,Religious,2,35,34359989,133725,35609650,151320,3.64,13.16,Spring
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1,4.7,0,Religious,0.33,21,119191539,5078514,119191539,5078514,0,0,Spring
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1,4.7,0,Religious,0.41,32,85266596,251846,92878329,318154,8.93,26.33,Spring
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1,4.7,0,Religious,0.82,36,79630345,1574915,85657365,1617105,7.57,2.68,Summer
Eastern,West Bengal,Kolkata,Belur Math,Site,1.5,4.7,0,Religious,0.47,36,79630345,1574915,85657365,1617105,7.57,2.68,Spring
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,2,4.7,0,Religious,0.59,12,48343121,448853,54369873,513113,12.47,14.32,Autumn
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,1,4.7,0,Religious,0.46,18,14673520,1091870,15604661,1096407,6.35,0.42,Spring
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,3,4.7,0,Historical,0.05,17,179980191,498148,214306456,543716,19.07,9.15,Winter
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,1,4.7,0,Religious,0.49,17,179980191,498148,214306456,543716,19.07,9.15,Autumn
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1,4.7,15,Religious,0.11,17,179980191,498148,214306456,543716,19.07,9.15,Monsoon
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1.5,4.7,0,Religious,0.69,21,119191539,5078514,119191539,5078514,0,0,Winter
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1,4.7,0,Religious,0.1,21,119191539,5078514,119191539,5078514,0,0,Summer
Western,Maharashtra,Ajanta,Ellora Caves,Cave,3,4.7,30,Historical,0.49,12.5363468146973,18952850.5940047,926866.764659479,20779241.8672101,1017691.59426768,3.43743097554562,10.6544754141467,Summer
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,2,4.7,40,Cultural,0.09,20,78038522,359119,83969799,375476,7.6,4.55,Monsoon
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,1.5,4.7,30,Historical,0.01,20,78038522,359119,83969799,375476,7.6,4.55,Monsoon
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,1,4.7,0,Recreational,0.03,14,19130541,470992,16093935,356568,-15.87,-24.29,Spring
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1.5,4.7,0,Religious,0.15,14,19130541,470992,16093935,356568,-15.87,-24.29,Summer
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,2,4.7,0,Nature,1.2,14,19130541,470992,16093935,356568,-15.87,-24.29,Monsoon
Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,5,4.7,150,Nature,0.035,35,34359989,133725,35609650,151320,3.64,13.16,Autumn
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,1,4.7,0,Religious,0.9,34,233977619,3556204,285079848,3780752,21.84,6.31,Summer
Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,1,4.7,0,Religious,0.13,34,233977619,3556204,285079848,3780752,21.84,6.31,Summer
Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,5,4.7,0,Religious,0.55,16,14235473,79765,17076315,139520,19.96,74.91,Autumn
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,20,Religious,0.05,12.5363468146973,123456,78910,456789,98765,7.67,5.67,Spring
Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1,4.7,20,Religious,0.015,12.5363468146973,123456,78910,456789,98765,7.67,5.67,Autumn
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,30,Religious,0.05,12.5363468146973,123456,78910,456789,98765,7.67,5.67,Spring
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,0.5,4.7,0,Religious,0.045,36,79630345,1574915,85657365,1617105,7.57,2.68,Summer
Eastern,Odisha,Puri,Jagannath Temple,Temple,2,4.7,0,Religious,1,26,14011229,100014,15208540,110818,8.55,10.8,Spring
Eastern,Odisha,Konark,Sun Temple,Temple,1.5,4.7,40,Historical,0.83,26,14011229,100014,15208540,110818,8.55,10.8,Autumn
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,2,4.7,0,Religious,0.65,31,345061140,4860455,385909376,6074345,11.84,24.97,Summer
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,1,4.7,0,Religious,0.3,31,345061140,4860455,385909376,6074345,11.84,24.97,Monsoon
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,1,4.7,0,Religious,0.28,31,345061140,4860455,385909376,6074345,11.84,24.97,Autumn
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,1,4.7,0,Religious,0.44,2,165433898,271362,194767874,281083,17.73,3.58,Summer
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,1,4.7,0,Religious,0.49,2,165433898,271362,194767874,281083,17.73,3.58,Monsoon
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,1,4.7,0,Religious,0.041,2,165433898,271362,194767874,281083,17.73,3.58,Autumn
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1,4.7,0,Religious,0.12,2,165433898,271362,194767874,281083,17.73,3.58,Summer
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,1,4.7,0,Religious,0.59,2,165433898,271362,194767874,281083,17.73,3.58,Spring
Eastern,Sikkim,Namchi,Char Dham,Religious Complex,2,4.7,50,Religious,0.12,30,1375854,49111,1426127,71172,3.65,44.92,Spring
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1,4.7,0,Historical,0.065,4,6052667,21760,5856282,36846,-3.24,69.33,Winter
North Eastern,Assam,Majuli,Majuli Island,River Island,2,4.7,0,Cultural,0.01,4,6052667,21760,5856282,36846,-3.24,69.33,Autumn
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,2,4.7,0,Religious,0.032,3,444005,7147,512436,7653,15.41,7.08,Winter
Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1.5,4.7,30,Historical,0.12,1,471919,15313,498279,15242,5.59,-0.46,Summer
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,1,4.7,0,Religious,1.8,15,33723185,170987,35408822,175801,5,2.82,Summer
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,1.5,4.7,0,Religious,0.2,5,32414063,1082705,33621613,1087971,3.73,0.49,Winter
Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,1,4.7,0,Religious,0.25,5,32414063,1082705,33621613,1087971,3.73,0.49,Autumn
Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,2,4.7,0,Entertainment,0.71,13,6050325,193381,4888952,73977,-19.2,-61.75,Summer
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.7,0,Religious,0.1,31,345061140,4860455,385909376,6074345,11.84,24.97,Summer
Northern,Delhi,Delhi,India Gate,War Memorial,0.5,4.6,0,Historical,2.6,10,29114423,2740502,29114423,2740502,0,0,Winter
Northern,Delhi,Delhi,Akshardham Temple,Temple,5,4.6,60,Religious,0.4,10,29114423,2740502,29114423,2740502,0,0,Autumn
Northern,Delhi,Delhi,Sunder Nursery,Park,2,4.6,0,Botanical,0.16,10,29114423,2740502,29114423,2740502,0,0,Autumn
Western,Maharastra,Mumbai,Gateway of India,Monument,1,4.6,0,Historical,3.6,21,119191539,5078514,119191539,5078514,0,0,Winter
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1,4.6,500,Historical,0.34,21,119191539,5078514,119191539,5078514,0,0,Spring
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,0.5,4.6,0,Architectural,0.8,17,179980191,498148,214306456,543716,19.07,9.15,Winter
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1,4.6,0,Religious,1.14,17,179980191,498148,214306456,543716,19.07,9.15,Autumn
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1.5,4.6,30,Historical,0.73,36,79630345,1574915,85657365,1617105,7.57,2.68,Autumn
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,0.5,4.6,0,Architectural,1.2,36,79630345,1574915,85657365,1617105,7.57,2.68,Winter
Eastern,West Bengal,Kolkata,Indian Museum,Museum,2,4.6,50,Historical,0.18,36,79630345,1574915,85657365,1617105,7.57,2.68,Spring
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,3,4.6,500,Nature,0.3,11,6895234,842220,7081559,933841,2.7,10.88,Autumn
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
